quantity,kind,detail
LCDM_T_CMB,odmap_gap,PAPER_1156
LCDM_T_CMB,odmap_gap,PAPER_1156
LCDM_T_CMB,odmap_gap,PAPER_1156
LCDM_T_CMB,odmap_gap,PAPER_1156
LCDM_T_CMB,odmap_gap,PAPER_1156
LCDM_T_CMB,odmap_gap,PAPER_1156
LCDM_Y_p,odmap_gap,PAPER_1156
LCDM_Y_p,odmap_gap,PAPER_1156
LCDM_Y_p,odmap_gap,PAPER_1156
LCDM_Y_p,odmap_gap,PAPER_1156
LCDM_Y_p,odmap_gap,PAPER_1156
LCDM_Y_p,odmap_gap,PAPER_1156
LCDM_Y_p,odmap_gap,PAPER_1156
LCDM_Y_p,odmap_gap,PAPER_1156
LCDM_Y_p,odmap_gap,PAPER_1156
LCDM_eta_B,odmap_gap,PAPER_1156
LCDM_eta_B,odmap_gap,PAPER_1156
LCDM_eta_B,odmap_gap,PAPER_1156
LCDM_eta_B,odmap_gap,PAPER_1156
LCDM_eta_B,odmap_gap,PAPER_1156
LCDM_eta_B,odmap_gap,PAPER_1156
LCDM_eta_B,odmap_gap,PAPER_1156
LCDM_eta_B,odmap_gap,PAPER_1156
LCDM_eta_B,odmap_gap,PAPER_1156
LCDM_n_s_S336,odmap_gap,PAPER_1156
LCDM_n_s_S336,odmap_gap,PAPER_1156
LCDM_n_s_S336,odmap_gap,PAPER_1156
LCDM_n_s_S336,odmap_gap,PAPER_1156
LCDM_n_s_S336,odmap_gap,PAPER_1156
LCDM_n_s_S336,odmap_gap,PAPER_1156
LCDM_n_s_S336,odmap_gap,PAPER_1156
LCDM_n_s_S336,odmap_gap,PAPER_1156
LCDM_n_s_S336,odmap_gap,PAPER_1156
LCDM_sigma8_KiDS_Planck_lift,odmap_gap,PAPER_1156
LCDM_sigma8_KiDS_Planck_lift,odmap_gap,PAPER_1156
LCDM_sigma8_KiDS_Planck_lift,odmap_gap,PAPER_1156
LCDM_sigma8_KiDS_Planck_lift,odmap_gap,PAPER_1156
LCDM_sigma8_KiDS_Planck_lift,odmap_gap,PAPER_1156
LCDM_sigma8_KiDS_Planck_lift,odmap_gap,PAPER_1156
LCDM_sigma8_KiDS_Planck_lift,odmap_gap,PAPER_1156
LCDM_sigma8_KiDS_Planck_lift,odmap_gap,PAPER_1156
LCDM_sigma8_KiDS_Planck_lift,odmap_gap,PAPER_1156
LCDM_sigma_8_S365,odmap_gap,PAPER_1156
LCDM_sigma_8_S365,odmap_gap,PAPER_1156
LCDM_sigma_8_S365,odmap_gap,PAPER_1156
LCDM_sigma_8_S365,odmap_gap,PAPER_1156
LCDM_sigma_8_S365,odmap_gap,PAPER_1156
LCDM_sigma_8_S365,odmap_gap,PAPER_1156
LCDM_sigma_8_S365,odmap_gap,PAPER_1156
LCDM_sigma_8_S365,odmap_gap,PAPER_1156
LCDM_sigma_8_S365,odmap_gap,PAPER_1156
LCDM_z_reion,odmap_gap,PAPER_1156
LCDM_z_reion,odmap_gap,PAPER_1156
LCDM_z_reion,odmap_gap,PAPER_1156
LCDM_z_reion,odmap_gap,PAPER_1156
LCDM_z_reion,odmap_gap,PAPER_1156
LCDM_z_reion,odmap_gap,PAPER_1156
LCDM_z_reion,odmap_gap,PAPER_1156
LCDM_z_reion,odmap_gap,PAPER_1156
LCDM_z_reion,odmap_gap,PAPER_1156
Pop_III_IMF_max,odmap_gap,PAPER_1652
Pop_III_IMF_max,odmap_gap,PAPER_1652
Pop_III_IMF_max,odmap_gap,PAPER_1652
Pop_III_IMF_max,odmap_gap,PAPER_1652
